source,target,nu_gap,within_median,separation,n_reps,max_r2,mean_r2,p_global,q_global
248502_at,249759_at,0.4595871252908784,0.7690074730646294,-0.30942034777375094,2,0.7088621460195843,-0.5530068648116591,0.1324575568454589,0.4034778286249651
248207_at,261480_at,0.45913757930269633,0.45718553042040116,0.0019520488822951654,2,0.8650332512701817,0.5947460801240682,0.13267577357831797,0.4034778286249651
266983_at,261663_at,0.458931788484219,0.30898088148423697,0.14995090699998204,2,0.9006156286337198,0.611480706102801,0.13267577357831797,0.4034778286249651
264211_at,247478_at,0.459508602178837,0.45380053646313406,0.005708065715702926,2,0.860450420644524,0.5372694969836327,0.1324575568454589,0.4034778286249651
248311_at,253922_at,0.4593251119644273,0.2384154742575703,0.22090963770685704,2,0.6997894001365665,0.5750614068935366,0.13258848688517436,0.4034778286249651
265665_at,253322_at,0.45957388546271377,0.3650638799863009,0.09451000547641286,2,0.780231807726781,0.6234038792828243,0.1324575568454589,0.4034778286249651
246490_at,247443_at,0.45866222647186455,0.5488172559120901,-0.09015502944022552,2,0.7183150713742301,-6.673260507763596,0.13285034696460524,0.4037937112174799
263118_at,247216_at,0.45850684073389764,0.11858267091250566,0.33992416982139195,2,0.6434232176471391,0.3955353882269582,0.1330249203508925,0.4042420906819271
245734_at,262290_at,0.4584279693995825,0.12743154348424718,0.33099642591533535,2,0.7825653863905034,0.6986453085567546,0.13311220704403615,0.40442509102317775
251725_at,267005_at,0.45819498035731865,0.14295722792934532,0.31523775242797336,2,0.5603444060422529,0.3319451924154928,0.13333042377689522,0.4049234130232456
247348_at,253374_at,0.45820724783113886,0.14233601807377144,0.3158712297573674,2,0.9449640718439823,0.6036493778857531,0.13333042377689522,0.4049234130232456
262883_at,267364_at,0.4580382691745338,0.12450546802380041,0.33353280115073336,2,0.9207626591802678,0.708943385855069,0.1335486405097543,0.4054714412718311
253372_at,248311_at,0.45799627297174605,0.30428659964690424,0.1537096733248418,2,0.8312144266336058,0.5098594923036941,0.1335922838563261,0.4054714412718311
253322_at,253372_at,0.4579995755896289,0.24760140229157104,0.21039817329805785,2,0.720904254671651,0.5667015158614921,0.1335922838563261,0.4054714412718311
261319_at,265939_at,0.4579730167034344,0.10625596924920294,0.35171704745423144,2,0.6178793572198951,-5.144930963413765,0.1336359272028979,0.4055215321416939
252885_at,261937_at,0.4578347324443248,0.3711118901523881,0.08672284229193672,2,0.7624411614131145,-9.172435691652167,0.13367957054946975,0.4055716026700867
261907_at,245936_at,0.45766253213620744,0.03574847572312456,0.4219140564130829,2,0.7795549082916858,0.49223549611766665,0.13381050058918517,0.4058040389290856
261319_at,265182_at,0.4576393573940887,0.09475066176881762,0.36288869562527104,2,0.5684401648808732,0.28412561259136904,0.13381050058918517,0.4058040389290856
255694_at,257311_at,0.45748476900742596,0.5543197483908336,-0.09683497938340768,2,0.6374095954066581,0.1322199951590358,0.13385414393575698,0.405854021649367
265665_at,247921_at,0.45724438261791495,0.15077555117014502,0.30646883144776993,2,0.8813285185605002,0.6791635042589874,0.13398507397547244,0.40616858903256425
253496_at,260956_at,0.4570951334884889,0.5086068006702003,-0.05151166718171135,2,0.7908155619725723,0.5828981582025383,0.1341160040151879,0.40648302880221854
250665_at,263252_at,0.4569321090133204,0.1803948709563642,0.2765372380569562,2,0.8836476075421159,0.19068398263695885,0.1342032907083315,0.40658263782722814
263739_at,265339_at,0.45690198122799996,0.2569482492292097,0.19995373199879024,2,0.781784893121186,0.4729144634756286,0.1342032907083315,0.40658263782722814
265480_at,259595_at,0.4568427571490403,0.23195363669672112,0.2248891204523192,2,0.7877490674981062,0.5072090491308898,0.13424693405490332,0.4066324120511586
247903_at,246998_at,0.4567700654861258,0.29611525564440155,0.16065480984172426,2,0.7872342467609769,0.46760035754394824,0.13433422074804696,0.40681433449884835
251869_at,252123_at,0.4566184698940462,0.1693216763724444,0.28729679352160176,2,0.8861353548805866,0.5128021457567791,0.13437786409461877,0.406864041601174
252429_at,259990_s_at,0.45648023595687487,0.23070812540579633,0.22577211055107854,2,0.9175372715377306,0.6539209391662433,0.13446515078776242,0.40704584340979455
256266_at,251454_at,0.4564259304688669,0.18826834196837788,0.26815758850048904,2,0.7596130572826728,0.519214491434415,0.13450879413433423,0.4070954834829293
266363_at,261914_at,0.4562275686436764,0.3178310764728015,0.1383964921708749,2,0.5870951349571867,0.4001269181796699,0.13463972417404968,0.407178599590939
245734_at,253174_at,0.4561352653530472,0.49180444145615354,-0.035669176103106326,2,0.8264085469038456,0.6894779805953409,0.1347270108671933,0.407178599590939
247867_at,247443_at,0.45604361878895205,0.641216994856467,-0.18517337606751494,2,0.7438058819060336,0.09287615214701198,0.1347270108671933,0.407178599590939
266983_at,263548_at,0.4561557049665611,0.12922809902029056,0.32692760594627057,2,0.6371703175354112,0.3966510933267121,0.1347270108671933,0.407178599590939
253372_at,246998_at,0.45631939434651325,0.3492829107911416,0.10703648355537165,2,0.6934788776270449,0.4618670871163652,0.13459608082747784,0.407178599590939
262736_at,263118_at,0.4560343068277736,0.29914530056189714,0.15688900626587643,2,0.6395633337622222,0.20773558600996608,0.1347270108671933,0.407178599590939
247903_at,255221_at,0.45622105563655857,0.3607444936129887,0.09547656202356986,2,0.8306471305517062,0.46737913477649096,0.13463972417404968,0.407178599590939
249741_at,253496_at,0.4559413909857719,0.2717277183179175,0.18421367266785443,2,0.7584549366203416,0.5584767120033534,0.1347706542137651,0.40722813251002593
259595_at,249759_at,0.45573819897246254,0.5657239612187084,-0.10998576224624584,2,0.6862026092841129,0.44968136588906327,0.13485794090690875,0.4072448166998849
253989_at,258677_at,0.45574902346125734,0.3968491494565518,0.05889987400470553,2,0.5189990788609019,0.19332607107810165,0.13485794090690875,0.4072448166998849
250926_at,262629_at,0.45577932787895653,0.44888479182579644,0.006894536053160094,2,0.7177561653728776,0.5819876726521223,0.13481429756033692,0.4072448166998849
250926_at,265182_at,0.45569178774139446,0.4272706161129387,0.028421171628455755,2,0.7173490573869692,0.15211170866650325,0.13498887094662418,0.4075578318214707
259595_at,267115_s_at,0.4551886540197644,0.3406959880083178,0.11449266601144659,2,0.9574025344727545,0.7683099686569993,0.1352507310260551,0.4077716753412662
250665_at,262503_at,0.45547409725820337,0.28344735089887685,0.17202674635932652,2,0.8988891937713739,0.3733312572252847,0.13511980098633963,0.4077716753412662
252387_at,258349_at,0.4554915040607545,0.15719809650816147,0.29829340755259304,2,0.6346231950862177,-191.03134359068736,0.13511980098633963,0.4077716753412662
249932_at,259348_at,0.45529690997918787,0.20441254291804928,0.2508843670611386,2,0.8319869653658746,0.549951921501911,0.13520708767948325,0.4077716753412662
247474_at,248502_at,0.45539896845551986,0.28408619192454637,0.1713127765309735,2,0.7097329538762533,0.6049759848201413,0.13520708767948325,0.4077716753412662
262324_at,264898_at,0.4551936611439288,0.25216882346704766,0.20302483767688112,2,0.7301098728031791,0.169584250598348,0.1352507310260551,0.4077716753412662
267115_s_at,267380_at,0.4552115219176257,0.6542741206333759,-0.19906259871575016,2,0.542115795946202,0.31915263062671984,0.13520708767948325,0.4077716753412662
267380_at,262503_at,0.45514372287493243,0.1493454315828705,0.30579829129206193,2,0.6419279295140341,0.4325043150030605,0.1353380177191987,0.4078702421864193
250007_at,267523_at,0.4550997693540543,0.47522704166985225,-0.020127272315797973,2,0.7357195735340223,-5.292821388108793,0.1353380177191987,0.4078702421864193
261618_at,267005_at,0.4549049361533999,0.1182190560595599,0.33668588009384,2,0.8760430270914094,0.5834338427699435,0.13551259110548597,0.4081493925213004
249941_at,264898_at,0.45505604627020363,0.24273799622362502,0.2123180500465786,2,0.8008005696661631,0.6012719977662265,0.13546894775891416,0.4081493925213004
262505_at,262883_at,0.455004279385189,0.22129576997855313,0.23370850940663587,2,0.6826895792524095,-0.2548516762657934,0.13551259110548597,0.4081493925213004
253374_at,257205_at,0.45468317925832746,0.4394035904158138,0.01527958884251368,2,0.8916216440612372,0.6528308968374583,0.13564352114520142,0.4082968358081385
258497_at,261914_at,0.4544219615225589,0.6242772008435133,-0.16985523932095442,2,0.7957439757676659,-22.716328541442145,0.13564352114520142,0.4082968358081385
248502_at,252475_s_at,0.45462888721565553,0.8668543807754627,-0.4122254935598072,2,0.6821983012486987,-0.4607201408415035,0.13564352114520142,0.4082968358081385
259790_s_at,252475_s_at,0.4542946801994816,0.1733323889891776,0.280962291210304,2,0.5186384003294704,0.36831336732534753,0.13573080783834504,0.4083128106946953
249191_at,264436_at,0.4542404998374344,0.35885187808660907,0.09538862175082535,2,0.8655777896822996,-0.15024614237119804,0.13573080783834504,0.4083128106946953
265480_at,267380_at,0.45436372483825443,0.6393167328650413,-0.18495300802678688,2,0.5479104760800947,0.22462312743775803,0.13568716449177323,0.4083128106946953
249191_at,262505_at,0.45383146590974166,0.2294298855221921,0.22440158038754957,2,0.9064810751940712,0.6857569484596525,0.1359490245712041,0.40872239942513716
263134_at,262503_at,0.4538439429417015,0.2302529965787109,0.2235909463629906,2,0.6469844338775623,0.409939535936021,0.1359490245712041,0.40872239942513716
262883_at,263739_at,0.45394343186282077,0.07139003690901592,0.38255339495380486,2,0.8219632459033694,0.6384415506831693,0.1359053812246323,0.40872239942513716
259595_at,252123_at,0.45377362321393466,0.27227121856637565,0.181502404647559,2,0.7090229520918505,0.45923520834856946,0.13603631126434776,0.40882030629764365
264211_at,248148_at,0.4537729191081006,0.5705276298765651,-0.11675471076846455,2,0.8500228844940358,0.5865913173574211,0.13603631126434776,0.40882030629764365
257205_at,262324_at,0.45363807577508997,0.34492729179854126,0.10871078397654871,2,0.7370311428741463,0.18176490763128034,0.13616724130406319,0.40888483110235374
