Name,locus,annot,period_WT,period_toc1,dperiod,amp_WT,WT1pMMC,WT2pMMC,T1pMMC,T2pMMC,rhythmic_WT,rhythmic_toc1,period_class,does_not_shorten
258813_at,AT3G04060,ANAC046 (Arabidopsis NAC domain containing protein 46); transcription factor,21.7,21.549999999999997,-0.15000000000000213,1.4159764963423203,0.0786,0.022,0.0336,0.0289,True,True,invariant,True
251535_at,AT3G58540,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G06190.1),22.450000000000003,22.3,-0.15000000000000213,0.9293057669647202,0.052,0.0523,0.0768,0.068,True,True,invariant,True
267471_at,AT2G30390,ferrochelatase II,23.25,23.1,-0.14999999999999858,1.1336031708801801,0.0095,0.0149,0.0219,0.0403,True,True,invariant,True
245528_at,AT4G15530,"PPDK (PYRUVATE ORTHOPHOSPHATE DIKINASE); kinase/ pyruvate, phosphate dikinase",24.25,24.1,-0.14999999999999858,1.2617389693473502,0.0087,0.0107,0.0603,0.00982,True,True,invariant,True
265962_at,AT2G37460,nodulin MtN21 family protein,24.0,23.9,-0.10000000000000142,1.41295081878999,0.0253,0.0163,0.0256,0.0114,True,True,invariant,True
256071_at,AT1G13640,phosphatidylinositol 3- and 4-kinase family protein,22.75,22.65,-0.10000000000000142,1.3176922446787604,0.0051,0.025,0.021,0.0132,True,True,invariant,True
259994_at,AT1G68130,ATIDD14 (ARABIDOPSIS THALIANA INDETERMINATE(ID)-DOMAIN 14); nucleic acid binding / transcription factor/ zinc ion binding,22.9,22.799999999999997,-0.10000000000000142,1.3328051567349446,0.0481,0.0978,0.0802,0.0758,True,True,invariant,True
262569_at,AT1G15180,MATE efflux family protein,22.1,22.0,-0.10000000000000142,1.27752490627664,0.0241,0.0297,0.0939,0.0116,True,True,invariant,True
252037_at,AT3G51920,CAM9 (CALMODULIN 9); calcium ion binding,22.700000000000003,22.6,-0.10000000000000142,1.7063180421792596,0.0105,0.011,0.0108,0.0188,True,True,invariant,True
258402_at,AT3G15450,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G27450.1); similar to unknown [Populus trichocarpa] (GB:ABK93866.1); contains domain PTHR11772 (PTHR11772); contains domain G3DSA:3.60.20.10 (G3DSA:3.60.20.10); contains domain SSF56235 (SSF56235),23.6,23.5,-0.10000000000000142,3.5676338562439094,0.0154,0.0046,0.0316,0.0423,True,True,invariant,True
